Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,525.000000,529.799988,518.099976,527.650024,521.867188,550392
2017-02-27,527.750000,527.750000,507.000000,508.850006,503.273193,659925
2017-02-28,510.899994,512.799988,504.549988,506.149994,500.602783,247168
2017-03-01,511.500000,521.799988,509.799988,513.299988,507.674408,462992
2017-03-02,516.000000,519.900024,503.750000,506.299988,500.751160,410143
2017-03-03,507.799988,515.000000,506.700012,512.799988,507.179901,237949
2017-03-06,514.000000,520.650024,512.400024,518.349976,512.669067,404637
2017-03-07,520.750000,520.750000,509.500000,511.700012,506.092010,806444
2017-03-08,505.000000,512.750000,500.299988,510.200012,504.608429,485080
2017-03-09,510.200012,519.000000,506.500000,516.099976,510.443726,378355
2017-03-10,520.000000,520.000000,513.000000,515.549988,509.899780,392891
2017-03-14,523.000000,525.700012,509.700012,511.000000,505.399658,1776559
2017-03-15,513.549988,515.900024,509.399994,511.750000,506.141449,236900
2017-03-16,514.450012,516.900024,511.500000,513.599976,507.971130,1861758
2017-03-17,517.450012,518.750000,511.750000,517.000000,511.333893,665026
2017-03-20,518.900024,518.900024,502.100006,504.549988,499.020325,5071627
2017-03-21,498.049988,501.899994,486.000000,488.000000,482.651703,528464
2017-03-22,485.799988,502.350006,484.100006,484.500000,479.190063,1860712
2017-03-23,488.000000,491.750000,483.250000,488.100006,482.750610,380688
2017-03-24,489.000000,495.299988,485.000000,489.200012,483.838562,427130
2017-03-27,490.000000,492.950012,483.750000,487.200012,481.860504,352310
2017-03-28,494.000000,504.950012,490.149994,502.950012,497.437897,8965830
2017-03-29,508.000000,512.900024,500.600006,503.950012,498.426910,8650617
2017-03-30,500.399994,504.399994,495.250000,499.049988,493.580597,647775
2017-03-31,500.000000,503.649994,489.000000,490.799988,485.421021,407932
2017-04-03,495.000000,503.200012,491.500000,498.799988,493.333344,339798
2017-04-05,499.549988,509.000000,498.649994,506.500000,500.948975,369962
2017-04-06,506.000000,516.849976,505.000000,508.700012,503.124847,618324
2017-04-07,507.899994,514.599976,502.600006,503.799988,498.278564,273979
2017-04-10,503.000000,512.849976,503.000000,510.750000,505.152405,413444
2017-04-11,511.799988,516.000000,508.000000,513.650024,508.020630,784269
2017-04-12,515.000000,519.849976,503.649994,505.700012,500.157745,334688
2017-04-13,505.500000,511.000000,502.649994,506.700012,501.146790,408145
2017-04-17,506.799988,509.000000,501.049988,502.450012,496.943359,210419
2017-04-18,504.100006,508.750000,496.299988,498.000000,492.542114,599311
2017-04-19,499.899994,501.500000,488.100006,499.250000,493.778442,400072
2017-04-20,496.500000,499.950012,487.000000,487.950012,482.602264,361913
2017-04-21,490.000000,496.399994,483.200012,485.799988,480.475830,354429
2017-04-24,486.000000,502.700012,481.000000,498.200012,492.739960,770397
2017-04-25,501.399994,519.400024,495.600006,515.150024,509.504211,867509
2017-04-26,520.000000,524.400024,508.649994,517.299988,511.630585,837508
2017-04-27,523.099976,525.000000,503.600006,505.950012,500.404999,2135202
2017-04-28,507.649994,514.900024,505.000000,509.600006,504.014984,507066
2017-05-02,509.500000,513.049988,502.000000,505.149994,499.613739,332105
2017-05-03,506.000000,508.000000,500.000000,500.700012,495.212524,265633
2017-05-04,506.000000,521.250000,502.000000,518.900024,513.213074,1249095
2017-05-05,521.000000,522.950012,503.299988,504.899994,499.366486,610147
2017-05-08,509.000000,513.849976,503.549988,511.100006,505.498566,348796
2017-05-09,513.000000,521.000000,511.100006,517.299988,511.630585,567310
2017-05-10,518.049988,527.500000,515.849976,526.000000,520.235291,693525
2017-05-11,525.000000,534.349976,513.799988,517.099976,511.432770,1521567
2017-05-12,516.799988,517.000000,499.500000,502.600006,497.091705,1593659
2017-05-15,506.750000,508.500000,498.500000,500.000000,494.520203,529204
2017-05-16,504.000000,504.549988,493.299988,501.600006,496.102661,528866
2017-05-17,502.799988,506.750000,498.750000,502.649994,497.141174,305040
